TARGET,loyalty,ID,age,city,LOR,prod_A,type_A,type_B,prod_B,turnover_A,turnover_B,contract,age_P,lor_M
Y,99,2706,62,2,0,0,0,0,0,344.7425297,273.0414451,2,62,3
Y,1,2720,34,2,2,1,3,3,1,382.8429331,222.4874563,2,34,27
Y,1,2743,37,2,4,0,0,3,1,330.6610977,284.1785693,2,37,51
Y,2,2840,47,5,1,1,3,3,1,365.0662967,230.2113157,2,47,15
Y,99,2856,35,2,0,0,0,0,0,463.5475552,218.4650971,2,35,3
Y,99,2878,47,2,0,0,0,0,0,397.1801145,249.7325628,2,47,3
Y,99,3029,33,2,0,0,0,0,0,322.0371528,278.0429824,2,33,3
Y,3,3059,30,2,1,1,3,3,1,362.2265175,259.3538206,2,30,15
Y,3,3151,44,2,1,1,3,3,1,355.9877212,213.4687725,2,44,15
Y,99,3188,45,2,0,0,0,0,0,483.7493538,209.3044978,2,45,3
Y,99,3243,35,2,0,0,0,0,0,469.8506251,232.6656759,2,35,3
Y,99,3245,37,2,0,0,0,0,0,330.5153009,246.167726,2,37,3
Y,99,3550,40,2,0,0,0,0,0,395.4059569,255.5188593,2,40,3
Y,99,3551,42,2,0,0,0,0,0,414.9964163,222.0976022,2,42,3
Y,99,3552,36,2,0,0,0,0,0,386.4227297,217.0796058,2,36,3
Y,3,3567,43,2,1,1,3,3,1,452.7959282,239.8947991,2,43,15
Y,3,3649,45,2,1,1,3,3,1,445.2171711,272.9905536,2,45,15
Y,1,3675,47,2,3,0,0,3,1,400.6196418,255.5528554,2,47,39
Y,99,3695,32,2,0,0,0,0,0,345.0225412,280.7558047,2,32,3
Y,3,3729,46,2,1,1,3,3,1,498.7577815,295.4912078,2,46,15
Y,2,3752,33,2,3,0,0,3,1,301.7754362,320.9810164,2,33,39
Y,99,3771,27,2,1,1,3,3,1,387.3789117,218.1336853,2,27,15
Y,1,3930,36,2,2,1,3,3,1,474.0021023,228.8921279,2,36,27
Y,99,4103,38,2,3,1,3,3,1,316.5968777,244.236322,2,38,39
Y,99,4122,48,2,0,0,0,0,0,481.4246113,244.54025,2,48,3
Y,99,4224,76,2,0,0,0,0,0,342.0181762,220.600672,2,76,3
Y,3,4242,40,2,2,1,3,3,1,446.2764174,281.7776333,2,40,27
Y,99,4282,68,2,0,0,0,0,0,467.8789669,253.4734982,2,68,3
Y,1,4313,44,2,3,0,0,3,1,381.6479121,241.1188415,2,44,39
Y,99,4439,36,2,1,1,3,3,1,482.1142444,228.2907589,2,36,15
Y,99,4491,31,2,0,0,0,0,0,456.449493,297.2263873,2,31,3
Y,3,4519,35,2,2,1,3,3,1,368.8192151,280.5634336,2,35,27
Y,99,4524,48,2,0,0,0,0,0,409.1050555,215.4096942,2,48,3
Y,99,4539,41,2,0,0,0,0,0,312.6336365,256.5657327,2,41,3
Y,99,4581,28,2,0,0,0,0,0,473.5660742,239.0892297,2,28,3
Y,99,4658,33,2,0,0,0,0,0,483.5123713,288.7696923,2,33,3
Y,1,4684,37,2,3,0,0,3,1,432.6715501,225.4485509,2,37,39
Y,99,4692,33,2,0,0,0,0,0,404.2846428,250.5500332,2,33,3
Y,99,4696,33,2,0,0,0,0,0,458.6829794,248.9905155,2,33,3
Y,3,4703,27,2,1,1,3,3,1,395.0555438,262.2595691,2,27,15
Y,99,4771,26,2,0,0,0,0,0,335.8713896,281.6832109,2,26,3
Y,99,4855,50,2,0,0,0,0,0,331.041272,273.8063642,2,50,3
Y,99,4874,31,2,0,0,0,0,0,339.5912915,211.2885733,2,31,3
Y,1,5043,48,2,2,0,0,3,1,398.6386355,201.3417876,2,48,27
Y,1,5118,42,2,2,1,6,6,1,449.9564515,202.9742895,2,42,27
Y,99,5153,56,2,0,0,0,0,0,434.0068412,200.9606197,2,56,3
Y,99,5164,39,2,0,0,0,0,0,392.1590153,230.4826126,2,39,3
Y,99,5166,44,2,0,0,0,0,0,473.7714354,255.4450709,2,44,3
Y,1,5210,43,2,3,1,3,3,1,453.3417441,243.9108958,2,43,39
Y,99,5220,39,2,1,1,3,3,1,419.1811071,205.5190047,2,39,15
Y,99,5264,41,2,0,0,0,0,0,404.6934278,231.205335,2,41,3
Y,2,5347,47,2,3,1,3,6,1,423.8875384,270.3330542,2,47,39
Y,1,5355,42,2,1,0,0,3,1,305.9338983,589.9232536,2,42,15
Y,99,5394,23,2,0,0,0,0,0,481.1917337,266.197191,2,23,3
Y,99,5396,32,2,0,0,0,0,0,498.5172935,271.7219308,2,32,3
Y,99,5434,53,2,0,0,0,0,0,350.5117901,294.6633115,2,53,3
Y,2,5484,60,2,3,1,3,3,1,438.8326233,299.5381436,2,60,39
Y,1,5489,45,2,1,1,3,3,1,349.3137197,218.2815266,2,45,15
Y,99,5529,48,2,0,0,0,0,0,304.8348666,298.3698567,2,48,3
Y,3,5570,23,2,1,1,3,3,1,359.4325264,270.8508973,2,23,15
Y,1,5573,40,2,3,1,3,3,1,493.7564032,226.3001188,2,40,39
Y,2,5579,23,2,2,1,3,3,1,430.302531,266.2612746,2,23,27
Y,99,5631,24,2,0,0,0,0,0,315.2266663,215.0938571,2,24,3
Y,99,5672,32,2,0,0,0,0,0,416.779877,277.2634684,2,32,3
Y,99,5724,32,2,0,0,0,0,0,349.4288479,216.5517275,2,32,3
Y,1,5788,24,2,2,1,3,3,1,411.0083694,275.9083938,2,24,27
Y,2,5831,44,2,1,1,3,3,1,1208.586752,1034.462677,2,44,15
Y,99,5910,28,2,0,0,0,0,0,487.2101303,291.3114609,2,28,3
Y,3,5979,56,2,1,1,3,3,1,379.5641534,273.6767544,2,56,15
Y,1,6033,51,2,2,0,0,3,1,400.4821769,229.6255536,2,51,27
Y,99,6151,57,2,0,0,0,0,0,467.2427156,291.1993298,2,57,3
Y,99,6174,27,2,0,0,0,0,0,433.8281487,277.14723,2,27,3
Y,99,6185,39,2,0,0,0,0,0,338.3617748,270.1805955,2,39,3
Y,3,6211,32,2,1,1,3,3,1,425.6802104,229.297519,2,32,15
Y,3,6278,31,2,1,1,3,3,1,358.4748748,256.2523934,2,31,15
Y,2,6340,55,2,2,1,3,3,1,400.3134579,300.4917007,2,55,27
Y,99,6359,31,2,0,0,0,0,0,312.1365855,267.5600718,2,31,3
Y,99,6373,31,2,0,0,0,0,0,450.3261521,285.6002813,2,31,3
Y,99,6405,45,2,0,0,0,0,0,353.0891634,256.240863,2,45,3
Y,99,6408,38,2,0,0,0,0,0,400.8215982,278.6567258,2,38,3
Y,1,6414,52,2,3,1,3,3,1,425.5385372,258.3533744,2,52,39
Y,99,6468,49,2,0,0,0,0,0,492.0543682,284.6387781,2,49,3
Y,99,6484,38,2,0,0,0,0,0,376.2806118,278.3589577,2,38,3
Y,99,6494,29,2,0,0,0,0,0,349.9212957,210.3536204,2,29,3
Y,3,6604,35,2,1,1,3,3,1,303.803895,289.5291137,2,35,15
Y,2,6733,64,2,1,1,3,3,1,446.5331938,293.5178833,2,64,15
Y,99,6739,23,2,0,0,0,0,0,322.448413,216.2997428,2,23,3
Y,99,6773,38,2,0,0,0,0,0,470.9297015,268.2841323,2,38,3
Y,3,6787,30,2,1,1,3,3,1,392.1401841,270.2032291,2,30,15
Y,99,6798,51,2,0,0,0,0,0,355.5638088,207.3567579,2,51,3
Y,1,6815,35,2,2,1,3,3,1,304.7362834,237.4389383,2,35,27
Y,99,6867,34,2,0,0,0,0,0,360.2886179,265.738327,2,34,3
Y,99,6895,38,2,0,0,0,0,0,487.8662589,233.8635119,2,38,3
Y,99,6938,29,2,0,0,0,0,0,451.9228892,277.0948003,2,29,3
Y,99,6972,74,2,0,0,0,0,0,421.8286666,214.8462207,2,74,3
Y,99,7011,37,2,3,0,0,3,1,392.0630343,244.1771173,2,37,39
Y,99,7237,44,2,0,0,0,0,0,431.0042576,239.1786499,2,44,3
Y,1,7248,62,2,1,1,3,3,1,347.0261133,241.3680039,2,62,15
Y,99,7270,46,2,1,1,3,3,1,475.7195566,251.8356607,2,46,15
Y,99,7277,34,2,0,0,0,0,0,480.2997815,275.6758071,2,34,3
Y,3,7294,26,2,1,1,3,3,1,321.1812859,219.1681281,2,26,15
Y,3,7415,39,2,1,1,3,3,1,317.806722,246.5679802,2,39,15
Y,2,7425,57,2,2,1,3,3,1,345.559724,273.2780856,2,57,27
Y,99,7444,47,2,0,0,0,0,0,373.0433842,205.8266234,2,47,3
Y,99,7493,69,2,0,0,0,0,0,479.4878634,242.8957,2,69,3
Y,3,7511,26,2,1,1,3,3,1,418.9115443,230.4226083,2,26,15
Y,99,7574,43,2,0,0,0,0,0,409.930298,293.0342329,2,43,3
Y,99,7597,48,2,0,0,0,0,0,303.8744189,231.2711158,2,48,3
Y,3,7631,28,2,1,1,3,3,1,369.4700505,282.2822571,2,28,15
Y,99,7635,59,2,0,0,0,0,0,453.5837601,294.5652903,2,59,3
Y,99,7640,38,2,0,0,0,0,0,347.0107717,232.1000442,2,38,3
Y,2,7752,41,2,2,0,0,0,0,448.7673477,240.9328533,2,41,27
Y,99,7777,34,2,0,0,0,0,0,433.5744569,298.3410615,2,34,3
Y,2,7815,42,2,1,1,3,3,1,448.7309691,215.693554,2,42,15
Y,99,7832,30,2,1,1,3,3,1,399.7412734,205.32458,2,30,15
Y,2,7841,34,2,0,0,0,0,0,340.4561054,273.7855119,2,34,3
Y,3,7865,42,2,1,0,0,0,0,388.5435193,276.7065751,2,42,15
Y,99,7867,39,2,0,0,0,0,0,473.7910853,234.5813318,2,39,3
Y,99,7939,54,2,0,0,0,0,0,447.3516756,209.2214178,2,54,3
Y,99,7941,43,2,0,0,0,0,0,442.9442751,282.3150304,2,43,3
Y,99,7945,38,2,0,0,0,0,0,411.891372,229.361741,2,38,3
Y,99,7967,32,2,1,1,3,3,1,445.6475059,282.7795277,2,32,15
Y,1,7985,35,2,2,1,3,3,1,361.0788275,254.9859693,2,35,27
Y,99,8029,39,2,1,1,3,3,1,488.9339499,237.1757718,2,39,15
Y,1,8041,49,2,0,0,0,0,0,464.8032669,216.6899326,2,49,3
Y,99,8159,43,2,1,0,0,0,0,386.2142488,214.3993422,2,43,15
Y,1,8172,28,2,1,1,3,3,1,333.6299579,297.1116332,2,28,15
Y,99,8190,53,2,0,0,0,0,0,491.6382574,231.3830213,2,53,3
Y,1,8261,67,2,2,1,3,3,1,346.8409362,294.4342529,2,67,27
Y,99,8331,25,2,0,0,0,0,0,377.0079003,290.7383953,2,25,3
Y,99,8352,52,2,0,0,0,0,0,339.9613129,247.7615131,2,52,3
Y,99,8397,50,2,0,0,0,0,0,464.2806211,280.800273,2,50,3
Y,99,8406,71,2,0,0,0,0,0,307.8015957,294.8713311,2,71,3
Y,99,8443,47,2,0,0,0,0,0,436.1204245,201.9580585,2,47,3
Y,3,8489,31,2,1,1,3,3,1,342.143562,269.4721396,2,31,15
Y,99,8556,34,2,0,0,0,0,0,392.9277319,238.1024827,2,34,3
Y,99,8653,65,2,0,0,0,0,0,477.4339053,203.6938807,2,65,3
Y,99,8839,45,2,0,0,0,0,0,364.8573483,202.7942639,2,45,3
Y,99,8887,51,2,0,0,0,0,0,389.1181872,239.6256747,2,51,3
Y,99,8916,35,2,0,0,0,0,0,380.6381423,284.7681336,2,35,3
Y,99,8962,50,2,0,0,0,0,0,471.7273866,212.367915,2,50,3
Y,1,9000,41,2,2,1,3,3,1,354.9304018,254.0646523,2,41,27
Y,99,9087,41,2,0,0,0,0,0,340.7313675,262.4416603,2,41,3
Y,99,9159,35,2,0,0,0,0,0,420.5184449,234.4872494,2,35,3
Y,99,9217,36,2,1,1,3,3,1,490.0940865,291.8076599,2,36,15
Y,99,9330,25,2,0,0,0,0,0,433.5932563,243.4535445,2,25,3
Y,99,9346,37,2,0,0,0,0,0,335.5049203,252.6111294,2,37,3
Y,1,9381,38,2,3,0,0,3,1,495.7691401,245.9539953,2,38,39
Y,99,9384,35,2,0,0,0,0,0,454.1707039,236.4148462,2,35,3
Y,99,9402,39,2,1,0,0,0,0,344.7552321,286.3901133,2,39,15
Y,1,9482,65,2,1,1,3,3,1,343.0561904,212.1586303,2,65,15
Y,99,9521,42,2,0,0,0,0,0,395.6228043,216.4759708,2,42,3
Y,99,9525,24,2,1,1,3,3,1,324.1569612,214.0052729,2,24,15
Y,99,9533,23,2,0,0,0,0,0,334.6561551,248.3705853,2,23,3
Y,99,9540,49,2,0,0,0,0,0,495.0882713,238.5367337,2,49,3
Y,99,9677,27,2,1,1,3,3,1,347.4451961,287.1798201,2,27,15
Y,3,9778,56,2,1,1,3,3,1,387.9288899,273.8765185,2,56,15
Y,1,9880,50,2,1,1,3,3,1,434.827979,304.617523,2,50,15
Y,1,9887,43,2,2,1,3,3,1,477.1809672,285.4784582,2,43,27
Y,99,10077,32,2,0,0,0,0,0,377.1150257,222.8241206,2,32,3
Y,99,10262,40,2,0,0,0,0,0,369.8195676,250.9026773,2,40,3
Y,99,10299,32,2,0,0,0,0,0,497.0299207,263.7408869,2,32,3
Y,1,10374,47,2,1,1,3,3,1,318.9829289,217.1930737,2,47,15
Y,1,10430,23,2,3,0,0,3,1,469.1382019,207.7912051,2,23,39
Y,99,10443,23,2,0,0,0,0,0,411.09276,219.0114758,2,23,3
Y,99,10468,50,2,0,0,0,0,0,457.8209932,204.4947878,2,50,3
Y,99,10476,41,2,0,0,0,0,0,407.2005252,220.9386809,2,41,3
Y,1,10546,38,2,2,1,3,3,1,345.6973001,300.0007226,2,38,27
Y,99,10627,25,2,1,1,3,3,1,462.0826283,229.3910647,2,25,15
Y,99,10693,63,2,0,0,0,0,0,494.020715,241.4212338,2,63,3
Y,99,10827,36,2,0,0,0,0,0,337.594416,244.9741325,2,36,3
Y,1,10843,30,2,2,1,3,3,1,495.8586481,237.9921049,2,30,27
Y,99,10877,56,2,0,0,0,0,0,498.0647756,292.4767248,2,56,3
Y,3,10886,28,2,1,1,3,3,1,340.1046365,247.8830179,2,28,15
Y,99,10983,46,2,0,0,0,0,0,373.8858221,290.4493392,2,46,3
Y,99,11041,35,2,0,0,0,0,0,416.3149653,273.6218763,2,35,3
Y,1,11114,32,2,2,1,3,3,1,437.4441212,223.5186659,2,32,27
Y,3,11154,32,2,1,1,3,3,1,419.7470823,296.5092592,2,32,15
Y,3,11244,26,2,1,1,3,3,1,457.694312,261.5702497,2,26,15
Y,99,11262,34,2,0,0,0,0,0,303.4577202,224.2889279,2,34,3
Y,99,11273,37,2,0,0,0,0,0,303.1187432,206.008336,2,37,3
Y,99,11305,55,2,0,0,0,0,0,461.721993,240.3037281,2,55,3
Y,99,11331,48,2,0,0,0,0,0,404.6971763,278.4943238,2,48,3
Y,1,11352,32,4,2,1,3,3,1,421.1104832,319.3826126,2,32,27
Y,1,11365,34,2,3,1,3,3,1,332.4376801,316.4547919,2,34,39
Y,99,11479,53,2,1,1,3,3,1,458.6862903,230.2343599,2,53,15
Y,99,11614,60,2,0,0,0,0,0,455.2974713,205.4993328,2,60,3
Y,1,11677,33,2,2,1,3,3,1,438.1058643,268.2849683,2,33,27
Y,2,11748,42,2,2,1,3,3,1,428.5683455,274.3821506,2,42,27
Y,99,11896,32,2,0,0,0,0,0,432.2302183,289.4612023,2,32,3
Y,99,11948,54,2,0,0,0,0,0,403.9690667,296.7979705,2,54,3
Y,2,12020,45,2,2,1,3,3,1,448.5696457,232.0900895,2,45,27
Y,99,12120,35,2,0,0,0,0,0,387.4535484,262.9079473,2,35,3
Y,99,12165,32,2,1,1,3,3,1,456.7897896,262.1651175,2,32,15
Y,99,12177,37,2,1,1,3,3,1,345.0556431,289.5642181,2,37,15
Y,3,12234,27,2,2,1,3,3,1,428.363539,211.8867319,2,27,27
Y,99,12318,35,2,0,0,0,0,0,430.5417332,280.5468593,2,35,3
Y,3,12321,32,2,3,0,0,3,1,338.2280169,265.0339315,2,32,39
Y,1,12369,47,2,3,0,0,3,1,312.4870702,269.3986205,2,47,39
Y,1,12498,23,2,2,1,3,3,1,338.4412166,206.4883764,2,23,27
Y,2,12561,43,2,1,1,3,3,1,443.2661875,295.6259415,2,43,15
Y,3,12573,39,2,2,1,3,3,1,338.2294893,200.6845861,2,39,27
Y,1,12625,28,2,2,1,3,3,1,332.632443,261.6743978,2,28,27
Y,99,12626,24,2,0,0,0,0,0,378.9744171,218.3805482,2,24,3
Y,2,12724,39,2,1,1,3,3,1,460.7289626,211.7834052,2,39,15
Y,99,12831,61,2,0,0,0,0,0,415.9540673,209.4325695,2,61,3
Y,3,12849,41,2,1,1,3,3,1,364.4487072,257.6501283,2,41,15
Y,3,12861,48,2,1,1,3,3,1,359.1770116,266.7938344,2,48,15
Y,2,12916,60,2,2,1,3,6,1,329.6010756,751.350868,2,60,27
Y,1,12950,32,2,2,1,3,3,1,490.0128504,269.0827783,2,32,27
Y,99,12982,69,2,0,0,0,0,0,384.4791795,284.2337407,2,69,3
Y,99,12994,26,2,0,0,0,0,0,386.3859371,286.4754432,2,26,3
Y,99,13031,52,2,0,0,0,0,0,422.2056779,222.1852386,2,52,3
Y,99,13086,28,2,0,0,0,0,0,306.3502899,234.4375766,2,28,3
Y,99,13104,48,2,0,0,0,0,0,354.1006599,290.2265169,2,48,3
Y,99,13158,49,2,0,0,0,0,0,494.1515045,257.7178894,2,49,3
Y,99,13231,31,2,0,0,0,0,0,377.9758169,242.6667668,2,31,3
Y,99,13234,23,2,0,0,0,0,0,482.088212,201.4231818,2,23,3
Y,3,13239,34,2,1,1,3,3,1,436.8119315,253.1793456,2,34,15
Y,99,13271,42,2,0,0,0,0,0,493.063338,233.8954432,2,42,3
Y,99,13289,35,2,0,0,0,0,0,432.446362,255.6814687,2,35,3
Y,99,13430,34,2,0,0,0,0,0,467.2300889,251.286827,2,34,3
Y,99,13438,39,2,1,1,3,3,1,369.3649166,219.4154917,2,39,15
Y,1,13491,37,2,3,0,0,3,1,307.530377,256.7060312,2,37,39
Y,1,13495,33,2,3,1,3,3,1,407.0801304,229.7751567,2,33,39
Y,1,13658,80,2,2,1,3,3,1,424.6821161,237.7035282,2,80,27
Y,99,13739,28,2,0,0,0,0,0,312.5231771,238.0564146,2,28,3
Y,99,13943,37,2,0,0,0,0,0,442.0215468,216.3715862,2,37,3
Y,99,13980,49,2,0,0,0,0,0,353.5989854,256.3981966,2,49,3
Y,99,14007,54,2,0,0,0,0,0,433.6730522,203.244637,2,54,3
Y,99,14037,31,2,0,0,0,0,0,409.1485216,259.4544144,2,31,3
Y,1,14106,46,2,3,0,0,3,1,453.4904622,278.2051573,2,46,39
Y,3,14283,31,2,1,1,3,3,1,378.2739807,229.0934857,2,31,15
Y,99,14317,40,2,0,0,0,0,0,441.8794028,297.5374212,2,40,3
Y,1,14348,35,2,1,1,3,3,1,478.7813642,283.4276881,2,35,15
Y,3,14371,26,2,1,1,3,3,1,306.4083971,282.7282611,2,26,15
Y,99,14402,42,2,0,0,0,0,0,487.9579286,257.7639695,2,42,3
Y,3,14433,29,2,1,1,3,3,1,395.3344168,225.8439042,2,29,15
Y,99,14454,64,2,0,0,0,0,0,407.2699594,289.3890075,2,64,3
Y,2,14567,27,2,2,1,3,3,1,379.0877688,299.0109925,2,27,27
Y,99,14657,36,2,0,0,0,0,0,381.716081,294.1363359,2,36,3
Y,99,14672,28,2,0,0,0,0,0,407.9617231,280.9605361,2,28,3
Y,99,14681,43,2,0,0,0,0,0,406.0179831,280.6740375,2,43,3
Y,99,14754,30,2,0,0,0,0,0,314.091998,237.1152313,2,30,3
Y,99,14774,36,2,0,0,0,0,0,406.9149727,207.2321599,2,36,3
Y,99,14813,23,2,0,0,0,0,0,384.9877536,270.0603047,2,23,3
Y,99,14834,45,2,4,0,0,3,1,433.2945048,287.9368671,2,45,51
Y,99,14902,26,2,0,0,0,0,0,447.5352104,200.1041793,2,26,3
Y,99,14906,26,2,1,1,3,3,1,365.0423506,259.2186594,2,26,15
Y,2,14914,54,2,2,1,3,3,1,350.8267904,270.6347786,2,54,27
Y,1,14988,41,2,1,1,3,3,1,394.2240826,273.5766377,2,41,15
Y,99,15022,36,2,0,0,0,0,0,353.3807811,226.0079538,2,36,3
Y,3,15062,38,2,3,0,0,3,1,383.7752463,243.7187827,2,38,39
Y,99,15114,26,2,0,0,0,0,0,431.5070438,211.3786388,2,26,3
Y,99,15261,39,2,1,1,3,3,1,322.3594874,293.2065829,2,39,15
Y,99,15443,38,2,0,0,0,0,0,466.2453982,232.228851,2,38,3
Y,2,15496,42,2,1,0,0,0,0,359.7514225,215.0318794,2,42,15
Y,1,15552,42,2,3,0,0,3,1,334.0611881,229.4067776,2,42,39
Y,3,15574,55,2,1,0,0,0,0,381.7958848,274.6893164,2,55,15
Y,1,15588,24,2,2,1,3,3,1,476.4398722,243.2208827,2,24,27
Y,3,15648,31,2,4,0,0,3,1,343.2102791,292.2677631,2,31,51
Y,2,15802,36,2,1,1,3,3,1,398.7930693,204.3797776,2,36,15
Y,3,15868,30,2,1,1,3,3,1,498.4717202,256.602863,2,30,15
Y,1,15870,34,2,2,1,3,3,1,531.0616631,264.4155542,2,34,27
Y,1,15990,48,2,2,1,3,3,1,405.1414438,219.7178629,2,48,27
Y,99,16121,48,2,0,0,0,0,0,497.2793155,271.5041231,2,48,3
Y,99,16129,31,2,0,0,0,0,0,467.2636272,299.7991822,2,31,3
Y,99,16216,55,2,0,0,0,0,0,476.3071066,262.6051746,2,55,3
Y,99,16223,38,2,0,0,0,0,0,399.3484653,248.4974044,2,38,3
Y,1,16225,44,2,2,1,3,3,1,414.6088782,227.4959418,2,44,27
Y,99,16263,53,2,1,1,3,3,1,458.2054859,294.4135887,2,53,15
Y,99,16297,45,2,0,0,0,0,0,429.9822666,264.4004681,2,45,3
Y,99,16343,30,2,0,0,0,0,0,346.5790192,200.180769,2,30,3
Y,99,16631,52,2,0,0,0,0,0,325.7226005,246.2572566,2,52,3
Y,99,16633,35,2,0,0,0,0,0,453.4860052,247.075852,2,35,3
Y,1,16658,39,2,1,0,0,3,1,477.7447775,3639.122417,2,39,15
Y,99,16676,24,2,1,1,3,3,1,332.6507681,229.8342035,2,24,15
Y,99,16694,58,2,0,0,0,0,0,492.4560309,246.4515959,2,58,3
Y,99,16791,32,2,1,1,3,3,1,340.3204371,300.028701,2,32,15
Y,99,16925,26,2,0,0,0,0,0,381.72332,292.8526825,2,26,3
Y,3,16986,27,2,1,1,3,3,1,453.6523027,242.7164079,2,27,15
Y,99,17097,38,2,0,0,0,0,0,412.5045787,202.5511523,2,38,3
Y,99,17117,38,2,0,0,0,0,0,382.4784761,200.3267709,2,38,3
Y,99,17277,33,2,0,0,0,0,0,364.316137,257.6262269,2,33,3
Y,99,17287,35,2,1,0,0,0,0,475.3915718,265.7817899,2,35,15
Y,1,17341,43,2,2,1,3,3,1,353.1331688,242.9327272,2,43,27
Y,99,17484,29,2,0,0,0,0,0,402.6196884,222.4328959,2,29,3
Y,1,17577,26,2,1,1,3,3,1,479.9621226,238.5549313,2,26,15
Y,3,17582,26,2,1,1,3,3,1,309.3146165,237.1060634,2,26,15
Y,3,17583,68,2,1,1,3,3,1,316.3365475,275.410439,2,68,15
Y,1,17734,51,2,2,1,3,3,1,450.6979013,261.5843586,2,51,27
Y,99,17766,65,2,0,0,0,0,0,473.5432651,264.7434363,2,65,3
Y,3,18043,25,2,1,1,3,3,1,454.2542423,207.9316162,2,25,15
Y,99,18112,59,2,1,1,3,3,1,319.3275076,240.739434,2,59,15
Y,99,18122,67,2,0,0,0,0,0,427.0065261,286.7038536,2,67,3
Y,1,18202,42,2,5,0,0,3,1,381.97663,301.2019407,2,42,63
