,INDEX,TARGET,FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,LabelAppeal,AcidIndex,STARS
38,49,0,6.9,0.3,0.29,1.3,,24.0,189.0,1.02393,3.29,0.83,3.1,1,7,1.0
39,50,4,3.1,1.65,2.75,9.2,0.002,54.0,126.0,0.9893,3.04,,9.7,0,8,1.0
40,51,0,3.2,0.47,0.3,41.7,0.057999999999999996,160.0,135.0,0.9976,1.33,,9.4,0,9,
41,52,5,13.0,0.34,0.46,4.7,0.028999999999999998,244.0,94.0,1.00111,1.42,1.74,17.3,1,7,2.0
42,53,5,9.3,0.14,1.03,7.9,0.379,21.0,82.0,1.0241,3.26,0.38,13.7,1,7,2.0
43,54,1,19.3,1.75,0.36,52.3,0.075,63.0,48.0,1.0291700000000001,3.34,1.85,13.5,-2,9,1.0
44,55,3,5.8,0.36,0.5,38.8,0.29100000000000004,63.0,178.0,1.00091,3.87,0.45,8.8,0,7,1.0
45,56,4,15.5,0.19,0.26,54.0,0.039,30.0,214.0,0.98998,3.32,,12.1,0,6,2.0
46,57,4,11.0,0.23,1.42,37.8,0.035,,434.0,0.9976,3.35,0.52,9.4,0,7,4.0
47,58,0,6.6,0.24,2.32,1.4,0.35600000000000004,242.0,234.0,1.03659,3.11,0.39,9.9,-1,7,1.0
48,59,4,4.2,0.36,0.26,13.2,0.051,54.0,201.0,0.9976,3.0,1.62,10.8,1,7,1.0
49,61,4,7.5,1.43,1.24,4.4,0.057,22.0,201.0,0.9938,0.69,1.17,4.7,1,8,2.0
50,65,0,24.7,1.63,1.0,1.9,0.846,15.0,100.0,0.96939,2.28,,4.0,1,14,
51,66,0,8.0,0.42,0.32,2.5,0.601,26.0,116.0,0.99639,3.32,1.99,15.6,0,9,
52,67,4,7.1,0.28,0.64,47.1,0.512,,105.0,0.9972,3.98,1.06,9.2,1,8,2.0
53,69,3,4.3,0.4,0.27,7.1,0.049,205.0,321.0,0.99579,3.16,0.38,9.4,1,8,1.0
54,70,3,3.4,0.28,0.35,2.1,1.197,29.0,203.0,0.95511,3.26,2.14,9.2,-1,7,
55,71,1,6.8,1.94,0.04,3.5,0.532,25.0,133.0,1.0354,3.17,0.56,10.2,-2,7,1.0
56,72,4,15.1,0.44,0.22,4.3,0.992,3.0,99.0,1.0261799999999999,3.26,0.53,,-1,7,1.0
57,73,2,16.0,0.23,0.42,3.8,0.094,49.0,169.0,0.9969899999999999,3.49,0.9,,-1,7,1.0
58,74,4,6.2,0.16,0.26,12.05,0.204,208.0,220.0,0.9962200000000001,,0.58,10.6,0,7,2.0
59,77,3,16.9,0.19,0.41,36.7,0.046,51.0,169.0,0.9954,3.14,1.65,9.8,-1,7,1.0
60,78,0,5.8,0.68,3.26,11.4,0.055999999999999994,23.0,65.0,0.99755,4.12,0.34,9.7,-2,6,
61,79,0,14.6,0.54,0.52,8.6,0.08800000000000001,124.0,48.0,0.9981,2.42,,4.2,1,9,
62,80,4,7.0,0.06,1.57,41.4,,29.0,71.0,0.99977,2.51,0.49,16.7,0,8,3.0
63,81,2,2.9,0.54,0.03,48.9,0.094,41.0,110.0,0.9982,4.0,0.8,9.2,-1,10,1.0
64,82,1,6.3,0.24,0.06,1.8,0.88,6.0,530.0,0.97646,4.22,1.11,12.2,-2,7,1.0
65,84,0,16.3,0.33,0.49,2.5,0.631,8.0,297.0,1.0159799999999999,2.62,0.82,6.3,-1,13,1.0
66,85,6,14.7,0.24,0.84,6.4,0.048,143.0,196.0,0.9944,2.46,0.55,10.5,1,7,4.0
67,86,3,1.5,0.17,0.3,56.0,0.034,33.0,125.0,0.9915200000000001,3.55,0.49,5.7,-1,7,3.0
68,88,3,3.2,0.2,0.37,,0.535,227.0,625.0,0.9738,2.27,0.45,,0,7,1.0
69,89,5,12.5,0.24,1.0,43.6,0.043,32.0,156.0,1.0325600000000001,4.02,0.07,10.1,1,7,3.0
70,90,4,6.9,2.75,0.33,16.8,,161.0,158.0,0.99082,4.14,0.58,16.9,0,7,3.0
71,91,0,7.3,0.52,0.97,36.3,0.048,255.0,779.0,0.99044,4.04,0.35,12.0,-1,8,1.0
72,93,4,8.0,0.53,1.53,13.2,0.046,26.0,113.0,0.9983,3.23,0.37,8.4,0,9,4.0
73,94,0,10.2,0.81,0.44,54.5,0.045,21.0,609.0,0.9924,2.79,0.46,8.9,2,8,
74,95,2,8.1,0.46,0.09,3.3,0.096,26.0,,1.00573,3.6,1.18,18.2,0,9,1.0
75,96,1,23.6,0.4,0.5,1.0,0.354,174.0,489.0,0.99013,3.66,0.42,15.4,-2,7,1.0
76,97,1,6.1,1.17,0.96,18.15,0.09699999999999999,41.0,146.0,1.00278,3.3,0.2,11.5,-2,7,1.0
77,99,4,7.0,0.73,0.92,8.0,1.185,169.0,164.0,0.9796299999999999,4.34,0.62,9.0,0,8,1.0
78,100,3,9.4,1.45,1.04,1.6,0.045,42.0,408.0,0.99534,4.19,1.09,6.9,0,10,
79,101,5,4.2,0.69,0.58,24.3,0.188,104.0,161.0,0.9540000000000001,3.06,0.41,13.1,1,9,1.0
80,102,5,17.2,0.37,1.72,54.7,0.027999999999999997,24.0,84.0,0.9909,2.75,0.18,11.7,1,7,3.0
81,103,0,7.9,0.04,0.22,9.7,0.628,66.0,195.0,0.99413,3.04,,11.0,-1,9,
82,104,4,11.8,0.88,0.26,6.8,0.298,36.0,120.0,0.9646100000000001,,0.32,5.6,0,6,
83,105,7,7.4,0.19,0.65,12.8,0.053,48.5,95.0,0.9977799999999999,4.02,1.89,2.7,2,8,3.0
84,108,5,1.5,0.43,1.58,2.4,0.214,388.0,,0.9994,3.24,1.77,11.2,1,11,3.0
85,109,0,6.5,0.29,0.7,3.4,0.142,228.0,18.0,0.9927,3.49,1.98,9.9,1,7,
86,110,4,2.9,0.63,1.63,,0.327,24.0,,0.9917,3.19,0.48,10.5,0,7,2.0
87,111,5,3.5,0.27,1.04,,,352.0,175.0,1.0357399999999999,3.16,0.34,10.8,1,7,3.0
88,112,3,13.2,0.845,0.01,25.6,0.172,117.0,53.0,1.00888,3.32,0.5,11.0,1,9,1.0
89,114,4,2.7,0.18,0.31,32.1,0.21600000000000003,20.0,210.0,0.96244,3.84,0.21,10.8,-1,8,3.0
90,115,3,11.7,0.83,0.43,2.4,0.13699999999999998,84.0,,0.992,3.25,0.17,10.4,-1,6,
91,116,0,12.4,0.38,1.7,2.0,0.08,173.0,207.0,0.9961,1.03,0.86,,1,8,
92,117,4,4.5,0.43,0.35,21.3,0.489,264.0,140.0,0.9501799999999999,3.37,0.5,14.7,1,7,1.0
93,118,3,3.7,0.24,0.31,13.1,0.05,26.0,180.0,0.94955,3.05,0.53,10.4,-1,8,
94,119,2,15.4,0.32,0.99,18.2,0.044000000000000004,38.0,113.0,1.0046700000000002,3.84,0.6,6.9,-1,6,1.0
95,121,0,0.6,3.06,0.42,19.0,0.009000000000000001,3.0,147.0,0.9950600000000001,2.83,1.51,12.3,2,9,
96,122,3,8.4,0.785,0.77,5.5,0.541,23.0,431.0,0.9898100000000001,3.85,0.65,11.1,-1,5,3.0
97,124,3,1.3,0.64,0.3,2.25,0.034,8.0,,0.9329299999999999,2.72,0.62,9.9,-1,7,1.0
98,127,4,7.2,0.15,1.42,38.4,0.038,,110.0,1.00899,4.72,0.43,12.6,0,8,2.0
99,130,0,9.1,0.2,1.73,2.0,0.124,172.0,25.0,0.99516,2.69,,16.0,0,10,
100,132,3,13.6,0.81,1.22,27.8,0.039,46.0,11.0,0.9982,4.16,1.22,10.6,0,8,1.0
101,133,4,4.8,0.5,0.42,37.1,0.027999999999999997,44.0,205.0,0.97409,4.34,2.36,11.3,-1,7,2.0
102,134,1,7.5,0.42,1.75,3.85,0.546,217.0,,0.95709,2.05,1.91,11.8,-1,8,
103,136,2,6.2,1.4,1.64,15.8,0.057,39.0,248.0,1.0285799999999998,2.02,1.72,9.2,-1,7,3.0
104,137,4,10.5,0.27,1.86,58.8,0.43799999999999994,17.0,338.0,0.94096,3.24,0.95,12.633333333,0,7,2.0
105,138,3,7.8,0.13,0.29,5.3,0.051,47.0,545.0,0.9439700000000001,2.77,1.25,7.4,-1,7,1.0
106,139,5,7.2,0.72,0.51,6.3,0.083,156.0,103.0,0.95501,3.71,1.03,11.4,0,8,2.0
107,140,3,4.0,1.04,0.19,43.3,0.05,294.0,174.0,1.0153299999999998,3.09,2.89,11.5,-1,8,
108,142,3,7.4,0.37,0.48,25.6,0.305,46.0,233.0,1.03005,3.06,0.46,10.3,0,8,1.0
109,143,4,12.2,0.19,1.1,11.2,0.061,63.0,148.0,0.9799399999999999,2.99,0.38,9.3,0,8,2.0
110,144,0,7.6,1.7,1.03,3.4,0.048,224.0,116.0,0.9944,4.25,0.41,9.4,0,8,2.0
111,145,0,1.9,0.47,0.86,58.1,0.174,24.0,37.0,0.9951399999999999,,0.61,10.9,-1,8,
112,146,0,3.0,0.22,1.22,50.4,0.26,36.0,207.0,1.0303799999999999,2.62,2.1,11.0,-1,6,
113,149,0,8.4,0.39,0.1,1.7,0.075,153.0,25.0,0.9958100000000001,3.09,0.43,9.7,-1,9,
114,150,4,5.6,0.22,1.87,59.8,,15.0,104.0,1.03646,4.23,0.42,8.7,1,7,2.0
115,152,6,5.6,0.03,1.22,7.3,0.0,88.0,57.0,1.03205,3.25,1.98,,2,6,2.0
116,153,5,19.8,0.32,0.33,0.7,0.027000000000000003,488.0,66.0,1.02566,3.11,3.65,11.8,1,7,2.0
117,154,5,7.1,0.21,0.32,2.2,0.098,28.0,141.0,0.993,4.34,1.03,10.0,0,8,1.0
118,155,2,13.8,0.23,0.42,46.3,0.43200000000000005,,83.0,0.99318,3.41,,10.6,-1,8,
119,158,5,8.8,0.73,1.41,4.0,0.595,30.0,69.0,0.99787,3.47,,,1,10,2.0
120,159,4,5.8,0.91,0.1,47.2,0.044000000000000004,238.0,63.0,1.02787,3.01,,6.4,1,7,1.0
121,160,4,0.2,0.16,0.69,27.6,0.055999999999999994,33.0,549.0,0.99825,2.9,0.44,6.1,-1,8,2.0
122,161,1,7.3,0.38,1.08,6.5,0.271,482.0,102.0,0.9930399999999999,2.85,0.55,16.1,-1,8,1.0
123,162,2,5.8,0.18,0.21,6.6,,50.0,726.0,0.94294,3.29,0.62,10.0,-1,6,2.0
124,163,3,3.4,0.29,0.38,1.2,0.65,237.0,107.0,1.0306899999999999,3.28,0.36,18.2,-1,6,2.0
125,164,4,11.0,0.38,0.26,,0.035,167.0,118.0,0.9722799999999999,3.18,0.47,13.6,-1,7,
126,165,2,9.0,0.94,0.81,67.2,0.499,58.0,464.0,0.9977600000000001,,0.21,9.0,-1,8,1.0
127,166,2,17.3,1.25,1.3,35.15,0.031,33.0,631.0,0.9929600000000001,3.92,1.05,5.3,-2,7,2.0
128,167,4,2.1,1.65,0.27,10.9,0.306,29.0,130.0,0.9949600000000001,2.51,0.77,2.0,-1,7,1.0
129,168,5,16.8,0.96,0.32,59.2,0.419,22.0,251.0,0.99072,3.0,0.37,11.1,0,7,
130,169,5,7.2,0.2,1.44,46.6,0.027999999999999997,136.0,103.0,0.97085,2.17,,9.2,1,8,3.0
131,170,6,15.0,2.01,1.18,38.7,0.28600000000000003,17.0,158.0,1.0036399999999999,2.53,0.74,17.4,1,9,
132,171,5,3.2,0.52,0.36,1.5,,90.0,121.0,0.9897600000000001,4.31,1.29,18.3,0,6,3.0
133,172,4,3.1,0.25,0.28,7.7,0.871,402.0,132.0,1.045,1.85,,9.4,0,7,3.0
134,173,0,11.2,1.19,0.09,2.2,0.21899999999999997,172.0,28.0,0.9948600000000001,3.31,0.75,12.6,-1,10,
135,175,2,6.6,0.93,0.53,,0.024,22.0,622.0,1.00314,2.94,0.35,9.4,-1,7,
136,176,4,2.1,0.24,1.27,10.3,0.18,12.0,27.0,0.96793,,,8.1,0,9,
137,177,4,2.7,3.06,1.59,4.9,0.027999999999999997,25.0,4.0,0.9922,3.68,0.49,16.8,-1,6,4.0
138,178,4,5.8,0.74,0.15,1.1,0.414,26.0,83.0,0.97401,2.77,0.4,11.4,0,6,2.0
139,179,0,10.0,0.93,0.62,1.9,0.08,462.0,172.0,1.0210700000000001,3.13,0.55,9.5,1,11,
140,180,4,14.6,0.38,1.51,73.7,0.271,51.0,137.0,1.01893,4.02,1.98,12.1,0,8,3.0
141,181,4,1.5,0.63,0.32,6.4,0.034,251.0,204.0,0.9924,3.23,0.25,11.8,0,8,
142,182,2,6.6,0.13,1.27,15.1,0.04,115.0,179.0,0.9955,4.23,0.41,9.0,-1,8,2.0
143,183,0,7.5,0.065,0.1,13.0,0.228,93.0,,0.99741,3.1,0.5,3.2,1,8,1.0
144,184,5,2.9,0.84,0.27,1.6,0.336,312.0,98.0,0.9929899999999999,3.29,0.44,3.2,0,8,1.0
145,185,4,8.2,0.34,0.95,21.0,0.027999999999999997,,100.0,0.9895799999999999,3.2,1.77,13.2,-1,8,
146,187,5,8.2,0.53,0.38,40.3,,286.0,275.0,0.9906200000000001,2.88,0.6,18.3,1,9,3.0
147,188,3,8.3,1.21,0.34,7.8,0.39899999999999997,84.0,166.0,0.97462,3.21,0.75,17.5,-1,8,1.0
148,189,4,7.2,0.72,0.15,,0.012,10.0,49.0,0.9960899999999999,2.95,,13.7,0,8,4.0
149,190,5,9.3,0.19,0.29,51.1,0.042,44.0,189.0,0.9930399999999999,3.99,0.75,10.3,1,7,3.0
150,191,3,1.6,0.33,0.31,7.7,0.175,307.0,21.0,0.99226,3.11,0.24,8.8,0,8,2.0
151,192,5,10.7,0.63,1.18,55.6,0.39899999999999997,14.0,123.0,0.9952200000000001,2.3,,15.5,1,8,2.0
152,194,4,6.2,1.53,0.32,1.1,0.115,74.0,66.0,0.9909600000000001,2.25,0.81,8.9,0,7,
153,196,3,13.8,0.29,0.36,13.9,0.447,291.0,140.0,0.96793,3.25,0.63,7.0,-1,8,
154,197,3,7.2,0.16,0.32,44.9,0.04,50.0,150.0,1.0458,3.27,0.96,10.0,-1,8,2.0
155,198,3,0.8,0.56,0.42,2.3,0.139,453.0,718.0,0.9972,4.15,0.65,10.9,-1,8,2.0
156,199,3,7.7,2.54,0.35,15.3,0.638,74.0,148.0,0.9962799999999999,1.9,2.02,15.3,0,8,1.0
157,200,4,0.4,0.14,0.04,48.4,0.444,23.0,30.0,0.9922799999999999,4.43,0.61,9.9,0,7,3.0
158,201,2,6.3,2.39,0.24,1.5,0.415,,448.0,0.9923799999999999,4.05,0.01,14.5,-1,7,
159,202,3,0.5,0.91,2.16,88.1,0.036000000000000004,250.0,451.0,1.04541,3.47,0.66,9.1,-1,7,
160,203,5,13.8,1.07,0.49,53.3,0.342,305.0,161.0,0.9937,3.01,0.28,12.1,1,8,3.0
161,204,2,8.9,0.27,1.26,10.7,0.43200000000000005,19.5,166.0,0.99669,3.13,0.48,16.8,-1,10,2.0
162,205,4,16.2,1.22,0.26,11.0,0.03,2.0,82.0,0.9940200000000001,1.9,0.36,11.2,1,7,4.0
163,206,5,14.4,0.155,1.43,41.0,0.025,357.5,637.0,0.9934,3.18,0.61,3.9,0,8,3.0
164,207,4,8.7,1.225,1.47,47.2,0.09,4.0,11.0,0.99745,3.31,1.59,,1,9,1.0
165,208,4,6.1,0.5,0.38,19.4,0.14400000000000002,10.0,65.0,1.01902,5.14,0.64,11.4,0,7,3.0
166,209,7,17.8,0.21,0.15,,0.034,138.0,118.0,0.9917,3.3,,11.2,1,8,4.0
167,210,3,7.4,0.01,1.42,8.4,0.251,52.0,571.0,1.03166,3.09,1.38,8.8,0,8,
168,211,0,14.6,0.55,0.28,,0.149,15.0,208.0,0.9959,2.14,,9.7,0,8,
169,214,3,3.2,0.63,0.95,13.4,0.336,50.0,191.0,0.9989,3.22,0.53,9.0,1,8,1.0
170,215,0,8.6,1.695,0.11,4.1,0.48100000000000004,114.0,101.0,0.96126,2.66,0.38,12.5,0,9,
171,216,0,6.6,0.22,0.6,137.6,0.316,39.0,118.0,0.99834,3.05,1.79,9.1,0,7,1.0
172,218,0,6.6,0.86,0.25,36.9,0.045,45.0,178.0,1.04206,4.26,0.43,15.0,0,7,1.0
173,219,5,1.3,0.15,1.44,20.8,0.321,279.0,87.0,0.9936,2.17,0.42,10.9,0,8,2.0
174,220,2,14.3,0.99,0.15,1.2,0.053,61.0,573.0,1.03601,3.86,0.43,9.2,-1,8,1.0
175,221,0,20.6,0.24,0.46,2.2,0.033,,111.0,1.02888,,0.25,5.4,-1,7,2.0
176,222,3,4.4,0.13,1.61,101.1,0.077,121.0,363.0,0.9728,2.02,0.53,4.4,0,12,
177,224,0,7.8,0.625,0.16,2.0,,132.0,324.0,0.9962,3.14,0.23,11.0,2,9,
178,225,0,7.0,0.42,0.26,32.9,0.08800000000000001,79.0,39.0,1.08975,2.81,0.55,9.2,-2,8,
179,227,3,2.2,0.655,1.19,48.8,0.23600000000000002,138.0,339.0,0.9619700000000001,2.71,0.88,5.3,1,7,3.0
180,229,7,0.8,0.46,1.94,8.3,0.35600000000000004,41.0,193.0,0.9928,3.6,0.35,12.2,2,8,4.0
181,231,4,6.3,0.69,0.04,51.1,0.038,59.0,35.0,1.00701,3.12,0.04,9.5,0,8,2.0
182,232,3,7.6,0.18,0.46,46.4,0.055,58.0,614.0,1.02397,3.14,,9.9,-1,8,2.0
183,233,0,10.0,0.35,0.53,2.6,0.07,253.0,16.0,0.9972,3.15,0.16,11.0,1,12,
184,234,0,4.1,0.33,0.27,1.2,0.405,34.0,,0.9934,3.37,1.47,9.4,1,7,1.0
185,235,4,5.6,0.835,0.16,141.15,0.051,128.0,389.0,0.99564,3.67,,10.8,0,6,3.0
186,236,5,7.7,0.34,0.28,6.0,0.242,31.0,359.0,0.99815,3.27,,9.2,1,8,3.0
187,237,4,2.2,0.79,0.43,1.6,0.769,31.0,468.0,0.9916,4.02,0.5,7.4,0,9,3.0
188,238,3,6.1,0.32,0.59,8.3,0.036000000000000004,19.0,455.0,1.00919,4.23,0.52,12.6,-1,7,
189,239,3,6.3,1.04,0.38,5.9,0.44799999999999995,82.5,260.0,1.0167,3.12,0.66,15.7,0,7,1.0
190,240,0,4.7,0.35,0.3,58.9,0.129,156.0,97.0,1.01223,2.04,0.41,11.0,-1,7,
191,242,4,3.3,0.56,0.22,9.8,0.049,50.0,47.0,1.03157,3.68,1.24,17.7,0,6,3.0
192,244,0,6.4,0.25,0.04,39.2,0.43700000000000006,48.0,114.0,0.9911399999999999,3.31,0.58,,-1,7,1.0
193,245,5,5.5,0.42,1.48,51.4,0.33899999999999997,43.0,589.0,0.99013,3.14,0.88,18.5,1,7,
194,246,3,9.3,0.01,0.44,,0.051,46.0,139.0,1.03656,3.18,,13.2,0,7,3.0
195,247,0,8.7,0.78,1.07,1.7,0.061,12.0,122.0,0.99577,,1.23,15.6,0,10,
196,248,4,2.5,0.61,0.28,,0.039,73.0,37.0,0.99469,3.11,1.28,10.9,-1,7,2.0
197,250,0,8.8,0.86,0.36,39.6,0.29,239.0,44.0,0.9982,3.23,0.51,9.3,0,9,
198,251,4,5.7,0.93,0.05,6.8,0.16699999999999998,61.0,51.0,1.03903,3.09,0.46,15.1,1,7,2.0
199,252,3,0.6,0.37,0.52,,0.08199999999999999,146.0,26.0,1.0565,3.22,0.79,9.5,0,10,3.0
200,253,0,18.7,0.2,0.56,1.9,0.278,64.0,60.0,1.07733,4.83,0.58,8.7,1,12,
201,254,4,7.0,0.23,1.94,3.2,0.775,150.0,237.0,1.02365,3.02,1.29,13.3,0,10,2.0
202,255,4,12.3,0.3,0.22,15.1,0.528,,191.0,0.9966,3.08,0.4,9.3,0,8,3.0
203,256,4,0.4,0.07,0.09,9.6,0.49700000000000005,288.0,143.0,1.00784,3.25,1.98,20.2,-1,7,2.0
204,257,5,13.5,2.03,0.28,14.7,0.162,157.0,353.0,0.99792,,0.39,6.1,0,7,2.0
205,258,6,0.3,0.31,0.49,53.3,0.036000000000000004,34.0,114.0,1.03461,2.12,0.67,6.1,1,8,3.0
206,259,4,0.3,0.31,0.34,1.6,,23.0,280.0,0.9757399999999999,5.79,0.47,11.7,0,8,2.0
207,260,0,6.8,0.04,0.09,25.7,0.04,350.0,339.0,1.03736,2.34,0.46,16.0,0,7,1.0
208,261,5,0.4,0.48,0.88,14.8,0.313,96.0,45.0,0.97751,3.12,0.69,14.5,-1,8,2.0
209,262,3,10.4,0.17,0.27,1.4,0.032,39.0,45.0,0.99254,3.14,0.67,,0,7,3.0
210,263,4,6.6,0.18,0.28,41.5,0.040999999999999995,53.0,87.0,0.9920700000000001,3.13,0.45,9.3,0,7,2.0
211,264,2,7.6,0.29,1.48,35.1,0.051,100.0,146.0,0.9939,3.16,0.39,12.0,-1,8,1.0
212,265,5,6.5,0.35,0.65,17.6,0.124,34.0,154.0,0.9923,3.91,0.47,3.0,1,7,2.0
213,266,3,6.9,0.59,0.82,38.2,0.415,34.0,389.0,0.99165,2.13,1.03,12.3,-2,8,
214,267,6,6.6,0.18,0.35,1.5,0.049,104.0,241.0,1.03452,3.7,0.04,10.2,1,7,2.0
215,268,3,2.3,0.38,0.25,9.8,0.461,,191.0,0.9954799999999999,3.28,,,0,8,
216,269,3,9.0,0.8,0.12,34.0,0.192,8.0,78.0,1.0162200000000001,4.26,1.38,23.2,-1,10,2.0
217,270,0,1.9,0.33,0.29,,0.312,,105.0,0.9714299999999999,3.05,,9.2,1,8,
218,271,4,13.6,0.29,0.3,1.4,0.6659999999999999,52.0,148.0,0.9837799999999999,2.07,1.24,9.0,0,8,3.0
219,272,4,7.3,1.18,0.3,13.0,0.633,46.0,,1.0899299999999998,3.72,,7.6,0,8,1.0
220,273,3,16.9,0.41,1.24,15.2,0.042,92.0,293.0,0.9524100000000001,2.86,1.99,9.7,-1,8,2.0
221,274,4,14.3,0.4,1.24,33.3,0.522,26.0,105.0,0.98962,3.19,0.75,12.4,-1,7,3.0
222,275,0,6.0,0.76,1.8,3.3,0.303,26.0,226.0,0.9467200000000001,2.34,,9.5,-2,7,
223,276,0,8.2,0.12,0.28,42.5,0.073,83.0,19.0,1.01367,3.23,0.71,12.0,-1,7,2.0
224,277,3,19.0,1.48,0.64,73.6,0.24600000000000002,238.0,388.0,1.01453,2.04,,9.2,0,8,2.0
225,278,5,3.9,0.18,0.5,12.6,0.301,155.0,195.0,1.0,3.05,1.0,10.4,-1,8,1.0
226,279,0,17.8,2.37,0.66,46.4,,130.0,108.0,0.95981,3.37,1.97,8.0,0,7,1.0
227,280,4,9.7,1.35,1.54,11.7,0.098,26.0,160.0,0.9891,3.03,0.55,13.3,0,7,1.0
228,282,4,6.5,1.74,0.19,33.6,,196.0,530.0,0.99364,3.34,0.72,10.1,0,7,3.0
229,283,3,5.5,0.24,0.11,1.7,0.046,206.0,113.0,0.99224,3.22,0.48,10.0,0,6,2.0
230,284,7,6.8,0.18,0.3,12.8,0.062,236.0,229.0,1.01817,2.85,2.25,8.9,2,7,3.0
